time,surrogate_000,surrogate_001,surrogate_002,surrogate_003,surrogate_004,surrogate_005,surrogate_006,surrogate_007,surrogate_008,surrogate_009,surrogate_010,surrogate_011,surrogate_012,surrogate_013,surrogate_014,surrogate_015,surrogate_016,surrogate_017,surrogate_018,surrogate_019,surrogate_020,surrogate_021,surrogate_022,surrogate_023,surrogate_024,surrogate_025,surrogate_026,surrogate_027,surrogate_028,surrogate_029,surrogate_030,surrogate_031,surrogate_032,surrogate_033,surrogate_034,surrogate_035,surrogate_036,surrogate_037,surrogate_038,surrogate_039,surrogate_040,surrogate_041,surrogate_042,surrogate_043,surrogate_044,surrogate_045,surrogate_046,surrogate_047,surrogate_048,surrogate_049
1,0.189341,2.63224,5.30484,0.513151,0.593381,0.704945,2.3554,0.286537,2.47769,0.027,5.65303,1.0479,1.13612,2.35462,2.55247,0.432927,2.40385,5.07876,0.705,4.8963,0.112333,0.331735,2.93524,2.63224,0.653319,1.54298,0.978597,1.33891,3.08157,0.513298,0.503274,3.24,1.23152,0.794615,0.235381,1.26848,0.0278035,0.771096,1.40111,0.476133,2.48623,0.947898,0.453607,0.172689,0.0282958,1.71978,1.08213,0.200328,3.01075,5.20768
1.002,0.179451,2.60674,5.35997,0.488537,0.601711,0.682562,2.4317,0.306066,2.43676,0.0294146,5.68547,1.07406,1.1413,2.41615,2.57608,0.428471,2.43003,5.06954,0.691328,4.90001,0.115271,0.322262,2.91415,2.59439,0.63567,1.57713,0.966903,1.30328,3.05959,0.508814,0.467319,3.23087,1.1923,0.771096,0.195104,1.2537,0.0287909,0.760227,1.43103,0.501069,2.49896,0.943699,0.398515,0.165598,0.0448387,1.72413,1.06656,0.198681,3.0012,5.24728
1.004,0.168812,2.5567,5.4296,0.457894,0.616268,0.65946,2.50471,0.328025,2.392,0.0313817,5.70189,1.0862,1.14289,2.47046,2.62538,0.421237,2.43943,5.0377,0.664667,4.90027,0.114514,0.311319,2.87922,2.55309,0.625583,1.60432,0.931627,1.2477,3.04559,0.513151,0.424542,3.22289,1.14933,0.753304,0.173923,1.252,0.0287768,0.726995,1.46142,0.509497,2.51992,0.940961,0.356813,0.155333,0.0636206,1.71133,1.05367,0.202722,2.99079,5.28069
1.006,0.153067,2.51709,5.49961,0.429454,0.634167,0.623058,2.56626,0.370401,2.37106,0.0316276,5.715,1.07809,1.14138,2.49103,2.66231,0.429454,2.44175,4.98918,0.625908,4.89962,0.133363,0.329102,2.84381,2.53923,0.634545,1.62295,0.918208,1.22238,3.04115,0.502295,0.384713,3.20917,1.11449,0.74307,0.164098,1.26555,0.0233429,0.732487,1.48142,0.514684,2.5498,0.961112,0.299394,0.146844,0.0876745,1.69901,1.03953,0.2,2.96478,5.31743
1.008,0.144906,2.47719,5.57847,0.399023,0.652913,0.613127,2.63602,0.398663,2.31884,0.0474194,5.7206,1.08157,1.15764,2.51462,2.73394,0.421695,2.48372,4.98711,0.595621,4.89224,0.134725,0.346304,2.80067,2.52305,0.623058,1.63556,0.901333,1.18374,3.01656,0.477886,0.325502,3.2175,1.09462,0.728182,0.162417,1.23444,0.0268333,0.73916,1.4987,0.5134,2.57745,0.972607,0.258533,0.133363,0.0993804,1.68712,1.02428,0.204419,2.93165,5.37707
1.01,0.119314,2.4317,5.64621,0.369687,0.666885,0.602909,2.6882,0.431983,2.29368,0.0686378,5.71962,1.08394,1.174,2.53171,2.79401,0.428015,2.5057,4.97778,0.579193,4.885,0.152091,0.366864,2.76117,2.52069,0.62401,1.63647,0.892455,1.15073,3.01373,0.454177,0.270209,3.21714,1.05882,0.731103,0.174918,1.24,0.0282958,0.747269,1.51659,0.497218,2.59593,1.03094,0.216297,0.128428,0.123113,1.65364,1.02392,0.204689,2.90928,5.42808
1.012,0.103554,2.39485,5.70262,0.349566,0.676774,0.592834,2.75577,0.471276,2.28234,0.0815567,5.70797,1.06,1.22238,2.54462,2.82857,0.418242,2.52797,4.97262,0.572171,4.87955,0.156667,0.386437,2.71536,2.50363,0.608685,1.65632,0.88022,1.13127,3.01122,0.428785,0.219922,3.22484,1.03094,0.723325,0.186774,1.22944,0.04139,0.765868,1.50706,0.479636,2.58846,1.08964,0.19331,0.107025,0.13148,1.61748,1.02042,0.204746,2.87922,5.44985
1.014,0.0999711,2.34169,5.72,0.318,0.683115,0.608875,2.81,0.519173,2.25103,0.101412,5.70262,1.04798,1.25408,2.56432,2.87,0.414584,2.55248,4.93706,0.557502,4.85519,0.16389,0.403953,2.6646,2.50188,0.602963,1.6805,0.875879,1.12746,3.00328,0.396484,0.182605,3.23726,1.02533,0.707377,0.197914,1.21617,0.0655582,0.779205,1.50651,0.451463,2.5808,1.14421,0.173175,0.100023,0.15611,1.59837,1.05693,0.192,2.84381,5.46073
1.016,0.0940765,2.29308,5.72469,0.293604,0.678182,0.621786,2.84778,0.564243,2.247,0.103223,5.71913,1.02318,1.31991,2.57286,2.86258,0.408348,2.59094,4.92229,0.56485,4.82436,0.171232,0.416007,2.60674,2.48931,0.59665,1.68967,0.876989,1.13542,2.98382,0.371395,0.151696,3.23933,1.02318,0.703871,0.221099,1.21819,0.0791525,0.783407,1.50226,0.428785,2.54652,1.22896,0.164615,0.0859184,0.165604,1.5919,1.0768,0.189333,2.82102,5.47641
1.018,0.0998128,2.22467,5.72901,0.280056,0.656364,0.664782,2.87587,0.6035,2.23,0.128802,5.71833,0.995667,1.37788,2.58275,2.83477,0.399023,2.63874,4.9039,0.561318,4.79808,0.18613,0.430743,2.57159,2.49,0.590267,1.69901,0.873469,1.13467,2.96949,0.337576,0.144528,3.24,1.02786,0.703289,0.258022,1.2115,0.0902344,0.777769,1.49945,0.421379,2.5133,1.29894,0.177704,0.0857453,0.18,1.58614,1.10616,0.17885,2.81227,5.4636
