time,surrogate_000,surrogate_001,surrogate_002,surrogate_003,surrogate_004,surrogate_005,surrogate_006,surrogate_007,surrogate_008,surrogate_009,surrogate_010,surrogate_011,surrogate_012,surrogate_013,surrogate_014,surrogate_015,surrogate_016,surrogate_017,surrogate_018,surrogate_019,surrogate_020,surrogate_021,surrogate_022,surrogate_023,surrogate_024,surrogate_025,surrogate_026,surrogate_027,surrogate_028,surrogate_029,surrogate_030,surrogate_031,surrogate_032,surrogate_033,surrogate_034,surrogate_035,surrogate_036,surrogate_037,surrogate_038,surrogate_039,surrogate_040,surrogate_041,surrogate_042,surrogate_043,surrogate_044,surrogate_045,surrogate_046,surrogate_047,surrogate_048,surrogate_049
1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00459893,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.0031016,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00301252,0.01,-0.00016725,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00400633,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.00330256,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00374332,0.01,-0.000168205,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00362136,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.00372999,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00385542,0.01,-0.000150999,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00255714,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.00406417,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00400633,0.01,-0.000140585,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.008,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00113078,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,1.47334e-05,0.01,0.01,0.01,0.01,0.01,0,0.00461496,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00417112,0.01,-0.00011932,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.29812e-05,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,2.90659e-05,0.01,0.01,0.01,0.01,0.01,0,0.00482759,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00469879,0.01,-6.63866e-05,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,9.36035e-05,0.01,0.01,0.01,0.01,0.01,0,0.00557377,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00480034,0.01,-3.82778e-05,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.000309757,0.01,0.01,0.01,0.01,0.01,0,0.00604281,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00501957,0.01,-1.48199e-05,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.016,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.000848413,0.01,0.01,0.01,0.01,0.01,0,0.00674919,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00563636,0.01,-4.61498e-06,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
1.018,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.00160428,0.01,0.01,0.01,0.01,0.01,0,0.00710247,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.00633716,0.01,-2.65116e-06,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01
