time,surrogate_000,surrogate_001,surrogate_002,surrogate_003,surrogate_004,surrogate_005,surrogate_006,surrogate_007,surrogate_008,surrogate_009,surrogate_010,surrogate_011,surrogate_012,surrogate_013,surrogate_014,surrogate_015,surrogate_016,surrogate_017,surrogate_018,surrogate_019,surrogate_020,surrogate_021,surrogate_022,surrogate_023,surrogate_024,surrogate_025,surrogate_026,surrogate_027,surrogate_028,surrogate_029,surrogate_030,surrogate_031,surrogate_032,surrogate_033,surrogate_034,surrogate_035,surrogate_036,surrogate_037,surrogate_038,surrogate_039,surrogate_040,surrogate_041,surrogate_042,surrogate_043,surrogate_044,surrogate_045,surrogate_046,surrogate_047,surrogate_048,surrogate_049
1,1.82133,11.1186,2.41853,2.66851,3.34382,6.03833,2.13421,1.78342,0.615,2.68567,2.03977,2.50416,6.20835,1.04111,1.45878,3.99672,0.446822,2.35062,2.03404,1.96452,5.84424,1.36967,2.73719,0.114009,3.29664,11.426,0.922916,3.30669,1.85291,10.1982,4.25149,0.366468,5.975,3.48709,1.43214,0.702124,5.13648,2.48279,4.53459,1.95286,1.82389,1.82133,2.63763,3.0018,3.56991,1.22397,5.83949,0.0989311,1.06,3.2011
1.002,1.78532,11.0813,2.41618,2.68833,3.40227,6.05619,2.16535,1.78475,0.594129,2.66167,2.04879,2.4985,6.149,1.01112,1.47143,4.04907,0.483793,2.30195,2.01524,1.95786,5.8313,1.311,2.73882,0.120062,3.32032,11.4126,0.95675,3.29039,1.85522,9.87486,4.22415,0.356695,5.96833,3.4199,1.41378,0.635,5.23287,2.43525,4.50631,2.0281,1.77048,1.8204,2.58374,2.9639,3.52721,1.10661,5.915,0.0934539,0.98412,3.17793
1.004,1.76061,11.0238,2.41603,2.68911,3.50431,6.08234,2.18939,1.78862,0.575,2.65877,2.02878,2.48567,6.12055,0.955576,1.49015,4.10357,0.502865,2.27864,1.98689,1.953,5.80842,1.26617,2.763,0.104091,3.36,11.4098,1.04747,3.29185,1.8482,9.60226,4.20656,0.360254,5.96795,3.37409,1.4241,0.587217,5.32926,2.42506,4.37183,2.12805,1.73524,1.78936,2.53772,2.92398,3.52096,0.946527,5.99578,0.0928712,0.94095,3.14409
1.006,1.71036,10.988,2.40455,2.66079,3.57406,6.10161,2.20972,1.76782,0.553182,2.66308,2.01486,2.47119,6.132,0.907558,1.50332,4.18131,0.521127,2.24875,1.97023,1.92598,5.7971,1.25505,2.81,0.0681122,3.39952,11.3979,1.12657,3.29725,1.83088,9.335,4.18634,0.360465,5.975,3.31692,1.43955,0.546348,5.37633,2.43221,4.2658,2.23537,1.71036,1.76061,2.48403,2.8764,3.51294,0.799119,6.015,0.0557281,0.883495,3.08296
1.008,1.68203,10.9642,2.40225,2.62211,3.67368,6.09745,2.2206,1.7342,0.534355,2.68232,1.98129,2.4293,6.135,0.88087,1.5142,4.27027,0.546238,2.21731,1.97564,1.89232,5.80167,1.27266,2.85239,0.0392056,3.42779,11.3923,1.21329,3.31073,1.815,8.935,4.21328,0.373182,5.97735,3.28955,1.45878,0.515645,5.38564,2.43121,4.07825,2.31715,1.71748,1.69626,2.42362,2.83445,3.50242,0.703453,6.01792,0.0502883,0.838534,3.02965
1.01,1.66216,10.9599,2.39309,2.56921,3.79276,6.07455,2.24152,1.6967,0.526461,2.71812,1.9349,2.36965,6.11566,0.851154,1.54611,4.36208,0.575,2.14393,1.96885,1.86255,5.815,1.29562,2.93109,0.0308065,3.45514,11.3787,1.27876,3.32477,1.78795,8.535,4.21388,0.383629,5.98556,3.26985,1.47215,0.497688,5.39047,2.42473,3.89206,2.37241,1.76071,1.66683,2.38122,2.78917,3.4859,0.637794,5.97747,0.0400614,0.795999,2.96674
1.012,1.64466,10.9507,2.38037,2.50167,3.90045,6.055,2.23616,1.68252,0.513989,2.763,1.89547,2.31051,6.09745,0.815,1.55337,4.47491,0.597708,2.09318,1.9716,1.82971,5.82346,1.35466,2.99256,0.0282258,3.48388,11.3415,1.3548,3.36705,1.79223,7.815,4.18492,0.433205,5.99136,3.26269,1.49301,0.504213,5.35159,2.42195,3.73237,2.40784,1.79994,1.65914,2.32786,2.73423,3.50349,0.626021,5.92861,0.0372664,0.732907,2.90131
1.014,1.62695,10.9694,2.36099,2.42827,3.98776,6.02167,2.25017,1.66767,0.521127,2.78216,1.86643,2.24398,6.10161,0.783466,1.5661,4.55795,0.646887,2.0228,1.97341,1.78667,5.84167,1.43295,3.05697,0.0187182,3.47335,11.2682,1.42715,3.40529,1.82133,7.51587,4.16679,0.457935,5.98447,3.26025,1.49786,0.518676,5.33615,2.42186,3.59206,2.42522,1.83818,1.66136,2.28059,2.67509,3.51922,0.628205,5.89335,0.0295161,0.683777,2.83135
1.016,1.623,10.9321,2.33619,2.33848,4.0568,5.97747,2.24704,1.66517,0.53118,2.82451,1.86048,2.19509,6.10325,0.749545,1.56656,4.6259,0.680528,1.96128,1.98012,1.74377,5.86167,1.53774,3.12521,0.0173326,3.47399,11.2306,1.49289,3.44156,1.84479,7.335,4.15099,0.474285,5.96938,3.25757,1.52024,0.535899,5.31082,2.40543,3.51179,2.4293,1.85291,1.66827,2.22252,2.6144,3.54915,0.658272,5.88047,0.0215904,0.653806,2.763
1.018,1.62042,10.9304,2.30195,2.23904,4.11671,5.935,2.23968,1.64581,0.529058,2.8503,1.84255,2.12805,6.10648,0.73215,1.58041,4.67083,0.716818,1.92033,1.9889,1.69985,5.88047,1.60667,3.1708,0.0159035,3.44595,11.1933,1.53416,3.51792,1.88,7.17603,4.14281,0.477584,5.96167,3.23487,1.53905,0.573652,5.25633,2.38197,3.45775,2.39544,1.85522,1.6967,2.18793,2.54433,3.57656,0.717808,5.91275,0.0140492,0.612893,2.69868
1.02,1.6123,10.9134,2.27781,2.14682,4.16652,5.86691,2.22151,1.6333,0.512303,2.88393,1.86296,2.083,6.11321,0.720552,1.58866,4.71864,0.723599,1.91242,1.98842,1.66868,5.90833,1.64839,3.22181,0.0140492,3.41404,11.1746,1.55793,3.57394,1.91388,7.095,4.14666,0.454455,5.95415,3.2196,1.54305,0.615,5.24562,2.36771,3.45082,2.33147,1.85433,1.74875,2.13838,2.46103,3.62685,0.765909,6.01096,0.0160174,0.605697,2.65
1.022,1.60524,10.9016,2.25058,2.08613,4.21925,5.795,2.20443,1.61669,0.504091,2.9276,1.88796,2.05591,6.10913,0.719464,1.58013,4.75398,0.73215,1.92744,1.99768,1.6333,5.93135,1.70836,3.25675,0.0164028,3.395,11.1559,1.59276,3.62764,1.98545,7.0619,4.15723,0.446822,5.95398,3.22629,1.53774,0.674655,5.23029,2.36165,3.47144,2.25058,1.84733,1.78623,2.10919,2.39612,3.65292,0.826223,6.11566,0.0164028,0.626021,2.61367
1.024,1.58504,10.899,2.24901,2.01991,4.24567,5.72183,2.18069,1.61233,0.493427,2.94595,1.953,2.0419,6.09033,0.684091,1.55908,4.79064,0.732907,1.95008,2.0014,1.6095,5.95415,1.77359,3.27621,0.0160174,3.35918,11.1269,1.59566,3.684,2.04189,7.04372,4.19491,0.421881,5.96144,3.24744,1.53349,0.723599,5.2168,2.35815,3.49104,2.16535,1.83085,1.83828,2.06898,2.35425,3.67368,0.89675,6.37087,0.0184941,0.621954,2.60833
