time,surrogate_000,surrogate_001,surrogate_002,surrogate_003,surrogate_004,surrogate_005,surrogate_006,surrogate_007,surrogate_008,surrogate_009,surrogate_010,surrogate_011,surrogate_012,surrogate_013,surrogate_014,surrogate_015,surrogate_016,surrogate_017,surrogate_018,surrogate_019,surrogate_020,surrogate_021,surrogate_022,surrogate_023,surrogate_024,surrogate_025,surrogate_026,surrogate_027,surrogate_028,surrogate_029,surrogate_030,surrogate_031,surrogate_032,surrogate_033,surrogate_034,surrogate_035,surrogate_036,surrogate_037,surrogate_038,surrogate_039,surrogate_040,surrogate_041,surrogate_042,surrogate_043,surrogate_044,surrogate_045,surrogate_046,surrogate_047,surrogate_048,surrogate_049
1,1.94927,1.11828,1.84873,2.44236,3.22461,1.86637,3.2131,2.65538,3.11519,6.18341,4.13104,1.13095,2.13668,0.319891,1.34429,0.541333,2.95503,0.81958,2.28343,1.03247,3.79496,2.20659,0.314945,5.46606,1.08149,0.685,2.29069,1.74341,1.06164,2.28224,0.0853223,2.15171,2.52921,2.27308,3.53068,2.82584,2.30234,1.58136,3.61193,3.98261,3.99706,1.04977,2.00646,2.26956,1.40542,1.05603,1.77235,2.83765,0.59011,1.18095
1.002,1.96305,1.12273,1.81479,2.45407,3.23285,1.83914,3.17402,2.64975,3.11927,6.25945,3.95835,1.16355,2.11519,0.311711,1.32052,0.545112,2.91074,0.820914,2.30234,0.991525,3.70249,2.18139,0.328711,5.28321,1.10195,0.697219,2.26815,1.66393,1.01463,2.29521,0.0764514,2.14116,2.45456,2.27132,3.44081,2.7955,2.338,1.57789,3.569,3.99348,3.96942,0.992119,2.00055,2.21138,1.46774,1.08405,1.82786,2.88518,0.601068,1.29514
1.004,1.98275,1.135,1.75662,2.46862,3.24117,1.82483,3.13621,2.65162,3.1233,6.31648,3.79421,1.21932,2.11021,0.310328,1.2587,0.531494,2.88489,0.811637,2.31536,0.934839,3.5889,2.13748,0.352751,5.07409,1.12609,0.710025,2.25549,1.58832,0.975587,2.32718,0.0681918,2.1268,2.38,2.269,3.39937,2.73865,2.39355,1.58125,3.50625,4.01522,3.96901,0.940985,1.9813,2.12472,1.49557,1.10457,1.88915,2.93488,0.61,1.40139
1.006,1.98868,1.15277,1.70091,2.48729,3.2522,1.81489,3.11927,2.65695,3.12597,6.4047,3.67436,1.28513,2.12258,0.305919,1.18438,0.485481,2.8776,0.796795,2.338,0.894915,3.48766,2.10307,0.388417,4.74927,1.15615,0.734237,2.24415,1.54609,0.944316,2.37533,0.0647985,2.10777,2.3017,2.26077,3.38773,2.67144,2.44765,1.59554,3.41312,4.03696,3.96734,0.916417,1.94312,2.01808,1.53211,1.1318,1.94548,2.98336,0.631837,1.53211
1.008,1.98344,1.18285,1.62842,2.50149,3.25315,1.81419,3.1203,2.67196,3.11915,6.48758,3.5692,1.34368,2.13425,0.302722,1.13151,0.448595,2.89313,0.774184,2.34839,0.853636,3.37932,2.05345,0.431585,4.47299,1.20289,0.758449,2.23207,1.52635,0.917935,2.43171,0.0614155,2.09445,2.23097,2.25503,3.39272,2.58212,2.49637,1.59916,3.34459,4.02609,3.96188,0.900916,1.90192,1.91116,1.56275,1.16253,2.00458,3.02289,0.670862,1.68155
1.01,1.96844,1.21417,1.54609,2.52699,3.24673,1.80931,3.1468,2.69944,3.10907,6.56363,3.48766,1.40698,2.15046,0.289911,1.05869,0.407447,2.93158,0.737761,2.36419,0.844545,3.28699,1.99254,0.485481,4.27184,1.24243,0.782101,2.23663,1.52662,0.894302,2.48566,0.0334786,2.08438,2.14877,2.25374,3.41295,2.48723,2.55478,1.59998,3.26479,4.04615,3.96276,0.888733,1.85257,1.79253,1.57827,1.23657,2.04712,3.05847,0.709831,1.83151
1.012,1.94845,1.23794,1.46878,2.54477,3.23763,1.80251,3.18626,2.73872,3.10577,6.63667,3.43818,1.44855,2.18944,0.276631,0.991564,0.359322,2.96075,0.726102,2.37035,0.857273,3.2131,1.93413,0.550221,4.1402,1.29608,0.800031,2.25041,1.54924,0.858558,2.55478,0.0280943,2.06307,2.06506,2.26604,3.47182,2.40406,2.59974,1.61711,3.19603,4.04066,3.96541,0.887717,1.80251,1.67917,1.60227,1.29114,2.06582,3.06684,0.759919,1.9813
1.014,1.92092,1.2577,1.39256,2.57887,3.20975,1.78057,3.23763,2.78974,3.092,6.70667,3.4207,1.48797,2.22347,0.250563,0.947483,0.332424,2.98344,0.707143,2.35188,0.886352,3.16621,1.86892,0.637665,3.96923,1.34251,0.806326,2.26956,1.56647,0.826097,2.60344,0.0282729,2.03749,1.96844,2.28363,3.50625,2.32917,2.6224,1.61531,3.15448,4.00435,3.9644,0.891381,1.7526,1.59032,1.62603,1.36042,2.07972,3.04492,0.806027,2.11396
1.016,1.89302,1.27568,1.32333,2.60717,3.17011,1.74931,3.28833,2.82263,3.07207,6.79176,3.41118,1.53014,2.25374,0.215,0.910312,0.304567,2.9918,0.69125,2.32556,0.919558,3.13621,1.79621,0.710032,3.85217,1.37317,0.815664,2.32718,1.57789,0.788237,2.64734,0.0357298,2.01369,1.86892,2.3125,3.52758,2.27261,2.61719,1.61151,3.13499,3.96923,3.96356,0.900678,1.72997,1.53597,1.66073,1.43163,2.07806,3.01093,0.860267,2.22137
1.018,1.84416,1.28513,1.25338,2.62676,3.1233,1.69863,3.34617,2.85475,3.04153,6.91901,3.40455,1.55078,2.27966,0.191066,0.886352,0.29623,2.99911,0.670063,2.28977,0.973463,3.13002,1.7508,0.783216,3.77018,1.3843,0.818139,2.40587,1.58125,0.737761,2.67878,0.0535721,1.99136,1.74664,2.33935,3.50545,2.22483,2.58639,1.59654,3.14004,3.93917,3.96734,0.912203,1.69693,1.49557,1.68411,1.51375,2.06314,2.96789,0.912203,2.29132
1.02,1.80642,1.28,1.18285,2.65021,3.07469,1.62328,3.39272,2.88202,3.00421,7.03673,3.39937,1.55978,2.31555,0.163304,0.862447,0.290349,2.98904,0.64,2.24641,1.03895,3.13292,1.74149,0.839091,3.63652,1.37284,0.80929,2.48723,1.56794,0.714467,2.7033,0.0578324,1.97681,1.6208,2.36969,3.4709,2.17961,2.56207,1.5802,3.18537,3.84684,3.96873,0.928837,1.68184,1.4883,1.72709,1.61469,2.05032,2.91011,0.977707,2.33709
1.022,1.77123,1.27485,1.11203,2.67196,3.02059,1.55078,3.44659,2.91204,2.98023,7.08935,3.39924,1.57079,2.36834,0.135048,0.850551,0.2879,2.97139,0.612027,2.20659,1.09496,3.14276,1.75655,0.887894,3.54768,1.3273,0.791586,2.59967,1.53726,0.703379,2.69538,0.0528997,1.95917,1.48515,2.38344,3.41118,2.14134,2.51579,1.56473,3.25315,3.76863,3.96574,0.947458,1.66676,1.50915,1.77447,1.70777,2.04671,2.85237,1.04445,2.36419
